artist_id,artist_name,age,genre,dominant_era,preference
111,Sinead Harnett,34,R&B/Soul,2010's,0
112,6LACK,36,R&B/Soul,2010's,0
113,Anthony Hamilton,52,R&B/Soul,2000's,0
114,Paramore,35,Alternative/Indie,2000's,0
115,Selena Quintanilla,36,R&B/Soul,1990's,0
116,21 Savage,31,Hip-Hop/Rap,Late 2010's,0
117,Doug E Fresh,48,R&B/Soul,Early 2000's,0
118,Future,40,Hip-Hop/Rap,Late 2010's,0
119,India Arie,28,R&B/Soul,Late 2010's,0
120,Tamela Mann,57,Christian,2010's,0
121,The Beatles,81,Rock,1960's,0
